Geneid	2_alignedData/bam/5_non_mutant_Q96_K97del_24mth_23_04_2014_S2_fem_Aligned.sortedByCoord.out.bam	2_alignedData/bam/2_non_mutant_Q96_K97del_6mth_10_03_2016_S2_fem_Aligned.sortedByCoord.out.bam	2_alignedData/bam/3_non_mutant_Q96_K97del_6mth_10_03_2016_S3_fem_Aligned.sortedByCoord.out.bam	2_alignedData/bam/4_non_mutant_Q96_K97del_24mth_23_04_2014_S1_fem_Aligned.sortedByCoord.out.bam	2_alignedData/bam/7_non_mutant_Q96_K97del_24mth_23_04_2014_S4_fem_Aligned.sortedByCoord.out.bam	2_alignedData/bam/6_non_mutant_Q96_K97del_24mth_23_04_2014_S3_fem_Aligned.sortedByCoord.out.bam	2_alignedData/bam/1_non_mutant_Q96_K97del_6mth_10_03_2016_S1_fem_Aligned.sortedByCoord.out.bam
ENSDARG00000100145	449	628	537	349	468	354	983
ENSDARG00000063518	3	6	8	0	7	9	3
ENSDARG00000040045	1	1	5	4	5	7	2
ENSDARG00000100159	0	0	0	0	0	0	0
ENSDARG00000100031	60	132	122	34	50	50	115
ENSDARG00000038667	19	36	22	14	15	27	28
ENSDARG00000008333	1	1	0	0	2	0	1
ENSDARG00000038666	2	2	2	3	0	2	4
ENSDARG00000088634	282	393	274	128	243	256	439
ENSDARG00000015482	121	205	231	122	141	164	256
ENSDARG00000101562	524	1001	1288	469	489	673	1056
ENSDARG00000099331	127	234	289	148	129	172	226
ENSDARG00000101134	127	231	277	119	89	132	208
ENSDARG00000038271	18	24	20	16	8	18	14
ENSDARG00000077839	160	297	308	116	146	137	286
ENSDARG00000110206	73	111	107	70	79	83	89
ENSDARG00000078694	445	848	957	468	559	511	1663
ENSDARG00000040683	2	4	4	1	1	0	2
ENSDARG00000097928	34	58	56	34	35	49	124
ENSDARG00000089940	213	386	446	183	204	263	391
ENSDARG00000074146	74	181	166	93	64	119	152
ENSDARG00000097884	97	158	190	75	86	105	171
ENSDARG00000097244	510	906	1115	486	515	650	934
ENSDARG00000097762	0	0	0	0	0	2	0
ENSDARG00000097118	0	0	0	0	0	0	0
ENSDARG00000087516	0	0	0	0	0	0	0
ENSDARG00000076995	837	1266	1547	745	840	987	1339
ENSDARG00000087839	152	317	333	110	133	203	301
ENSDARG00000097391	5	14	19	5	4	9	7
ENSDARG00000005218	76	176	186	72	57	89	202
ENSDARG00000091260	9	32	36	12	14	14	28
ENSDARG00000116573	0	0	0	0	0	0	0
ENSDARG00000091481	145	127	186	137	153	171	219
ENSDARG00000039852	8	27	14	4	15	17	15
ENSDARG00000017195	15	14	20	23	8	25	16
ENSDARG00000030896	1	1	0	2	4	12	0
ENSDARG00000098888	0	0	0	0	0	0	0
ENSDARG00000006560	20	26	43	16	52	34	30
ENSDARG00000039850	30	43	40	20	30	33	54
ENSDARG00000006677	22	46	46	22	45	51	65
ENSDARG00000098661	29	74	75	39	49	58	63
ENSDARG00000008906	92	126	144	76	88	127	155
ENSDARG00000022615	29	20	20	26	9	33	27
ENSDARG00000094367	2	0	2	3	2	3	9
ENSDARG00000097519	2	3	0	0	2	2	2
ENSDARG00000095614	1005	1014	1298	629	994	886	2077
ENSDARG00000076509	214	353	419	200	229	304	316
ENSDARG00000045137	1	3	1	2	0	0	3
ENSDARG00000053746	15	18	29	11	7	22	19
ENSDARG00000089705	67	203	233	73	57	83	187
ENSDARG00000116769	0	2	0	0	0	0	3
ENSDARG00000002970	883	1260	1459	749	900	1004	1406
ENSDARG00000007480	505	98	172	18	526	689	127
ENSDARG00000074571	236	494	495	219	202	274	384
ENSDARG00000077288	7	2	8	7	8	7	8
ENSDARG00000039517	38	23	54	47	53	63	42
ENSDARG00000039516	1	2	1	1	1	1	5
ENSDARG00000003290	280	455	494	267	336	336	565
ENSDARG00000103465	0	0	0	0	0	0	0
ENSDARG00000059125	2003	3770	3918	1886	1960	2352	2751
ENSDARG00000111712	7	23	11	7	8	11	26
ENSDARG00000075899	105	205	235	88	111	130	315
ENSDARG00000103432	128	209	254	107	100	155	188
